TIME;PASSENGERS;INFORMATION;SAFETY;STATION;TRIP_TRANSPORT;CHARACTERISTICS;GENDER;DRIVING_LIC;PRIVATE_CAR_USE;TWOWH_USE;BIKE_USE;NONE_ABOVE;AGE;EDUCATION_LVL;JOB;PPL_IN_HOUSE;FAMILY_INCOME
2,67;,57;2,8;4;3,06;2,09;1;1;1;1;0;1;0;2;2;1;1;1
3,67;,71;3,2;4;4;2,82;1,6;2;0;0;0;1; ;2;1;4;4;2
4,33;,93;3,6;4,33;4,06;2,91;1,1;1;0;0;1;1; ;2;1;2;2;1
4;,86;3,4;4;4,29;2,82;1,45;2;1;1;1;0;0;1;2;2;5;1
4;1;4;4,67;4,53;3,27;,91;2;1;0;0;0;0;1;1;1;3;1
3,67;,79;3,6;4;4,35;2,55;1,09;2;0;0;0;1;0;1;1;1;5;1
4;1;3,8;4;4,41;3,36;1,09;2;0;0;1;1;0;1;1;1;4;1
4,33;1,07;3,8;4,33;4,47;2,91;1,09;2;0;0;0;1;0;1;1;1;5;1
4;,86;2,6;3,67;3,41;2,73;1,64;2;1;1;1;1;0;1;1;4;5;1
4,67;1,07;3,8;4,67;4,59;3,36;1,09;2;1;0;0;1;0;1;1;1;4;1
3,33;,79;3,2;3,33;4,12;2,73;1;2;0;0;0;1;0;1;1;1;4;1
3,67;,93;3,2;4;4,18;3;1,36;2;1;1;0;1;0;1;1;2;5;1
4;,93;3,8;3,67;4,35;3,64;1;2;0;0;0;1;0;1;2;1;3;1
4;,93;2,6;4;3,94;2,64;1,36;2;1;1;0;0;0;1;1;2;6;1
4;,71;2,8;3,67;4,18;3,18;1,09;2;1;1;0;0;0;1;1;2;3;1
4,33;1,07;3,8;5;4,76;3,45;1,09;2;1;1;0;0;0;1;1;1;4;1
3,67;,79;2,8;3,67;4;3,09;1;2;0;0;0;1;0;1;1;1;4;1
4,33;,86;3;4;4,35;2,73;1,09;2;1;1;0;0;0;1;1;1;4;1
3,67;1,21;4;3,33;4,18;2,45;1,27;2;0;0;0;0;1;2;1;2;5;1
3,67;,79;3,2;4;4;2,73;1,09;2;1;0;0;0;0;1;1;2;4;1
4;1;3,8;4,67;4,35;3,27;1,27;2;1;1;0;0;0;1;1;1;5;2
3,67;,79;3,6;3,67;4,41;2,91;1;2;0;0;0;0;1;1;1;2;3;1
4;,93;2,8;3,67;3,94;3;1;2;0;0;0;1;0;1;1;1;4;1
4,67;,79;3,6;4;3,65;2,55;1,09;2;1;1;0;0;0;1;1;1;4;1
5;1;3,8;4,33;4,35;2,91;1,27;2;1;1;0;0;0;3;1;2;3;1
5;,93;3,6;4,33;4,35;3,09;1,27;1;1;1;1;1;0;2;1;2;3;1
3,33;,86;3,6;4;4,29;2,82;1,64;2;0;0;0;0;1;1;1;6;6;1
3,67;,86;3;4,33;4;2,82;1,18;2;1;1;1;1;0;1;1;1;3;1
4;,93;3,8;4;4,24;2,82;1,09;2;0;0;0;1;0;1;1;1;4;2
4,67;1;3,4;5;4,65;3,18;1,27;2;1;1;0;0;0;2;2;2;3;1
4;1;3,4;4,33;4,29;2,64;1,09;2;1;0;0;1;0;1;1;1;4;1
3,67;,79;3;3,67;4,12;2,64;1,27;2;0;0;0;1;0;1;2;2;5;1
5;1,14;4,2;4,33;4,53;3,36;1,09;2;1;1;0;1;0;1;1;2;2;1
3,33;,86;2,8;3,33;4,41;3,18;,91;1;1;0;0;0;0;2;2;2;1;1
3,67;,93;3,2;4;4,18;2,82;1,55;2;0;0;0;0;1;3;1;6;3;1
3,33;,79;3;3,67;4;2,45;1,55;2;0;0;1;1;0;1;2;1;7;2
4;,93;4;4,67;3,94;3,55;1,55;1;1;1;0;0;0;2;1;6;4;1
4;,93;3,8;4,67;4,35;2,82;1,64;2;1;1;0;0;0;2;2;6;3;1
3,33;1,07;3,4;4,67;4,06;2,73;1,27;2;0;0;0;1;0;1;2;2;5;1
4,33;1,07;4;5;4,47;3,09;1,18;2;1;1;0;0;0;1;1;2;4;1
2,67;,79;2,4;3;3,18;2,45;1,18;2;0;1;1;1;0;1;1;2;3;1
 ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3;,93;3,4;4,33;4,18;2,45;1;2;0;0;0;1;0;1;1;1;4;1
3,33;,86;2;4;3,75;2; ; ; ; ; ; ; ; ; ; ; ; 
3,33;,64;1,8;4;3,65;2,45;1,18;2;0;0;0;0;1;1;2;1;3;3
4,33;,93;2,8;4,67;3,53;2,45;1,73;2;1;1;0;0;0;3;2;3;4;3
2,67;,79;3,2;3,67;4,06;2,27;1;1;1;0;1;1;0;1;1;1;3;1
4,67;1;3,6;5;4,35;3;1,45;2;0;0;0;1;0;1;2;1;6;3
4,33;1,14;3,8;5;4,76;3,45;1,09;2;0;0;0;1;0;1;1;1;5;1
3,67;1,07;1,8;3,67;3,41;2,82;1,36;2;0;1;1;1;0;1;2;2;4;1
3,67;,79;2,6;4;4,12;2,18;1,27;2;0;0;0;1;0;1;2;1;4;3
4;,71;3,4;4;4,59;3;1,09;2;0;0;0;1;0;1;2;1;4;1
5;1,14;4,2;5;5;3,09;1;2;0;0;0;0;1;1;2;1;3;1
4,67;,79;2,4;4,67;3,06;2,45;1,27;2;0;0;0;1;0;1;1;1;6;2
3;,5;1,6;1,33;3;2,18;1,18;2;0;0;0;1;0;1;2;1;4;2
3,67;,79;3;3,67;3,76;3;1,09;2;1;1;0;1;0;1;1;1;3;1
3,67;,79;2,8;3,67;3,35;2,18;1,18;2;1;1;0;1;0;1;2;1;3;1
4;,79;3,2;4;4,06;2,45;1,3;2;1;1;0;0; ;3;1;2;2;1
4;1;2,8;4;4,47;2,82;1,36;2;0;0;0;1;0;1;1;5;4;1
4,33;,86;3;4,33;4,06;2,55;1,09;2;0;0;0;1;0;1;1;2;4;1
3;,71;2,6;3,67;3,76;2,36;1,36;2;0;0;0;1;0;2;1;4;4;1
4;,86;3,2;3,67;4,18;3;1,18;2;1;1;1;0;0;1;1;1;4;1
3,67;,71;2,4;3;3;2,91;1,09;2;0;0;0;1;0;1;1;1;4;2
3,67;1,07;3;3,67;3,94;2,91;2;2;0;0;0;0; ;3;2;6;5;2
3;,79;3;4,33;4;2,64;1,2;2;1;0;0;0; ;2;1;2;3;1
4;,93;3;3,33;4,29;2,91;1;1;0;0;1;1; ;1;1;1;2;2
