N_PARTICIPANT;TIME_WAITED;ACCURACY;INFO_OUT;CLEANLINESS_OUT;ENTRANCE_OPT;BOARDING_TIME;CLEANLINESS_INS;INFO_IN;AVAIL_SEATS;SEAT_COMFORT;PERSON_SPACE;TEMP_INS;PERSON_SAFETY;CONTRACTOR_DRIVER;HELP_DRIVER;DRIVING_SAFETY;COPASS_BEHAVIOUR;PRODUCT_INFO;SEAT_RESERV;TRANSPORT_CARD;MULT_TRANS_OFFER;TRANS_PURPOSE;TRAVEL_PERSONS;WHEELCHAIR;BABY_STROLLER;KIDS;LUGGAGE;AGED;VISION_HELP;BIKE_FOLD;BIKE_NON_FOLD;DOG;OTHER;DISABILITY;TRANSP_FREQ;TICKET_SELL;INFO_TRIP;BUILDING_MAINT;STATION_CLEAN;FACILITY_STATION;STAFF_STATION;STAFF_HELP;PUBLIC_TRANSP_CONN;PARKING_CARS;PARKING_BIKES;PERSONNAL_SAFETY;ENV_STATION;ROOF_STATION;SEATS_STATION;CATER_FAC_STATION;REASON_TRANSP_MEANS;TICKET_PRICE_SATISFACTION;TRIP_SATISFACTION;GENDER;DRIVING_LIC;PRIVATE_CAR_USE;TWOWH_USE;BIKE_USE;NONE_ABOVE;AGE;EDUCATION_LVL;JOB;PPL_IN_HOUSE;FAMILY_INCOME
5114759371;3;3;4;2;2;2;3;3;2;1;2;2;4;3;3;3;2;1;1;1;0;4;1;0;0;0;1;0;0;0;0;0;0;0;3;5;3;2;4;5;3;4;4;2;2;5;5;3;2;2;1;2;5;1;1;1;0;1;0;2;2;1;1;1
5113627175;4;4;4;4;3;3;3;3;3;3;3;4;4;4;4;4;3;1;1;1;1;5;0;0;0;1;0;0;0;0;0;0;0;0;1;5;4;3;5;5;3;5;5;5;4;4;4;3;3;3;3;5;5;2;0;0;0;1; ;2;1;4;4;2
5113594932;4;5;5;4;4;4;5;5;4;4;4;4;4;5;5;5;4;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;3;4;3;3;5;4;3;4;4;4;4;4;4;4;4;4;4;5;5;1;0;0;1;1; ;2;1;2;2;1
5112744636;3;5;3;5;4;4;3;5;3;5;4;4;3;5;3;5;4;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;1;5;5;3;5;4;4;5;5;5;5;4;4;3;5;3;4;5;4;2;1;1;1;0;0;1;2;2;5;1
5112743050;4;4;5;5;4;4;5;5;4;4;5;5;4;4;5;5;4;1;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;5;4;4;5;5;4;4;5;5;4;4;5;5;4;4;5;5;5;4;2;1;0;0;0;0;1;1;1;3;1
5112742026;3;4;4;5;3;4;4;5;3;4;4;5;3;4;4;5;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;5;4;4;5;5;4;4;5;5;4;4;5;3;4;4;5;5;5;2;0;0;0;1;0;1;1;1;5;1
5112739466;4;4;4;5;5;4;4;4;5;5;4;4;4;5;5;4;4;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;4;4;5;5;4;4;4;5;5;4;4;4;5;5;4;4;5;4;5;2;0;0;1;1;0;1;1;1;4;1
5112738365;4;5;4;5;4;4;4;5;4;5;5;5;4;5;4;5;4;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;3;4;5;4;5;5;5;4;5;4;5;4;4;4;5;4;5;5;4;2;0;0;0;1;0;1;1;1;5;1
5112736731;4;4;3;2;4;4;3;2;4;4;3;2;4;4;3;2;4;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;3;4;4;3;2;4;4;5;2;4;4;5;2;4;4;3;4;4;4;2;1;1;1;1;0;1;1;4;5;1
5112735706;4;5;4;5;5;5;4;5;4;5;5;5;4;5;4;5;5;1;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;5;4;5;4;5;5;5;4;5;4;5;5;5;4;5;4;4;5;4;2;1;0;0;1;0;1;1;1;4;1
5112734588;3;3;4;3;3;4;4;4;3;4;4;3;3;3;4;3;3;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;4;5;3;4;5;5;4;4;4;5;4;4;5;3;3;4;5;5;4;2;0;0;0;1;0;1;1;1;4;1
5112733563;3;4;3;5;3;4;3;5;4;4;3;4;3;5;3;4;4;1;1;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;3;5;4;3;5;5;4;5;5;4;4;5;5;3;5;3;4;4;5;2;1;1;0;1;0;1;1;2;5;1
5112732229;3;5;4;5;3;4;3;5;4;5;3;4;3;5;4;3;5;1;1;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;5;5;5;4;5;5;4;5;5;4;5;5;4;3;5;4;5;5;5;2;0;0;0;1;0;1;2;1;3;1
5112730400;4;4;3;4;3;4;4;3;4;3;4;4;3;4;3;4;4;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;5;5;4;3;4;4;3;4;5;4;4;5;4;3;4;4;3;5;4;2;1;1;0;0;0;1;1;2;6;1
5112729153;3;4;3;4;3;5;3;4;3;4;3;5;3;4;3;4;3;1;1;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;2;5;3;4;5;4;3;5;5;4;5;4;5;5;3;4;5;4;5;2;1;1;0;0;0;1;1;2;3;1
5112728009;5;5;4;5;5;3;5;5;4;5;5;3;5;5;4;5;5;1;0;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;5;4;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;4;5;2;1;1;0;0;0;1;1;1;4;1
5112726837;3;3;4;3;3;5;3;3;4;3;3;5;3;3;4;3;3;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;4;4;3;3;5;5;3;4;5;5;5;5;5;4;3;3;5;5;5;2;0;0;0;1;0;1;1;1;4;1
5112725520;4;4;3;4;4;5;4;4;3;4;4;5;4;4;3;4;4;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;2;5;4;4;5;4;4;5;4;4;5;4;4;5;4;4;4;5;4;2;1;1;0;0;0;1;1;1;4;1
5112714542;3;4;5;3;5;4;3;4;5;3;5;4;3;4;5;3;5;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;4;5;3;5;4;3;4;5;5;5;4;5;4;5;3;5;5;4;2;0;0;0;0;1;2;1;2;5;1
5112713602;4;4;4;3;3;3;3;4;3;4;3;4;3;3;3;4;3;1;0;1;1;3;1;0;0;0;1;0;0;0;0;0;0;0;3;5;4;3;5;4;3;4;4;4;5;5;5;4;4;4;4;5;4;2;1;0;0;0;0;1;1;2;4;1
5112712069;4;3;4;4;4;5;5;5;5;4;4;5;4;5;5;5;4;0;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;3;4;5;4;4;5;5;4;4;4;5;5;5;4;4;5;3;4;5;2;1;1;0;0;0;1;1;1;5;2
5112710800;4;3;5;5;4;4;4;5;3;4;3;5;3;4;4;3;4;1;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;2;4;3;5;4;5;5;5;4;5;4;5;4;3;5;5;5;4;4;2;0;0;0;0;1;1;1;2;3;1
5112105032;4;4;4;3;4;4;4;3;4;4;4;4;3;4;4;4;4;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;4;4;3;3;5;2;4;4;5;5;4;4;5;4;4;3;4;4;5;2;0;0;0;1;0;1;1;1;4;1
