N_PARTICIPANT;TIME_WAITED;ACCURACY;INFO_OUT;CLEANLINESS_OUT;ENTRANCE_OPT;BOARDING_TIME;CLEANLINESS_INS;INFO_IN;AVAIL_SEATS;SEAT_COMFORT;PERSON_SPACE;TEMP_INS;PERSON_SAFETY;CONTRACTOR_DRIVER;HELP_DRIVER;DRIVING_SAFETY;COPASS_BEHAVIOUR;PRODUCT_INFO;SEAT_RESERV;TRANSPORT_CARD;MULT_TRANS_OFFER;TRANS_PURPOSE;TRAVEL_PERSONS;LUGGAGE;AGED;BIKE_NON_FOLD;OTHER;DISABILITY;TRANSP_FREQ;TICKET_SELL;INFO_TRIP;BUILDING_MAINT;STATION_CLEAN;FACILITY_STATION;STAFF_STATION;STAFF_HELP;PUBLIC_TRANSP_CONN;PARKING_CARS;PARKING_BIKES;PERSONNAL_SAFETY;ENV_STATION;ROOF_STATION;SEATS_STATION;CATER_FAC_STATION;REASON_TRANSP_MEANS;TICKET_PRICE_SATISFACTION;TRIP_SATISFACTION;GENDER;DRIVING_LIC;PRIVATE_CAR_USE;TWOWH_USE;BIKE_USE;NONE_ABOVE;AGE;EDUCATION_LVL;JOB;PPL_IN_HOUSE;FAMILY_INCOME
5111082945;3;4;2;3;4;2;3;3;5;5;5;4;3;3;3;4;5;1;1;0;0;1;0;1;0;0;1;0;1;2;4;2;3;2;2;3;2;4;4;3;3;2;2;2;1;3;4;2;0;0;0;1;0;1;1;1;3;2
5106912390;2;1;1;1;5;3;2;2;2;2;2;3;3;4;4;4;4;1;1;1;1;2;1;1;1;0;0;0;2;1;1;1;1;1;1;2;5;5;1;2;2;1;1;1;1;1;2;1;1;1;1;1;0;1;1;1;7;1
5106132860;3;1;3;4;4;4;3;4;4;2;1;3;3;4;4;4;3;1;0;0;0;3;1;1;0;0;0;0;3;4;3;3;4;2;3;2;2;1;1;1;2;1;2;2;1;2;2;2;1;1;0;1;0;2;2;2;1;1
5106062089;2;3;3;3;4;3;2;4;4;3;4;3;2;2;3;4;2;0;0;0;0;1;1;0;0;0;0;0;1;3;4;4;3;2;2;2;3;2;3;4;4;4;3;3;2;3;3;2;0;0;0;1;0;1;2;1;4;2
5106026654;3;3;3;2;3;3;1;4;2;2;3;3;2;3;4;4;4;0;0;0;1;4;1;0;0;0;0;0;1;4;3;2;3;4;2;3;2;3;2;4;3;2;2;3;3;4;3;2;0;0;0;1;0;1;1;1;4;2
5067835160;4;4;3;3;4;4;4;3;4;2;3;3;3;4;4;4;4;1;1;0;1;1;1;1;0;0;0;0;1;3;3;2;3;3;2;2;4;4;1;3;3;2;1;3;1;3;4;1;1;1;0;1;0;1;1;1;4;2
5061902121;4;4;4;1;3;4;4;5;4;4;2;2;3;5;5;5;4;0;1;0;0;1;0;1;0;0;1;0;1;2;2;1;1;1;1;2;1;1;1;2;2;1;1;1;1;3;4;2;1;1;0;1;0;1;1;1;1;2
5061753701;3;3;1;2;4;2;2;2;2;2;2;3;3;3;2;4;4;1;0;1;1;3;1;1;0;1;0;0;1;3;1;2;2;1;1;1;2;5;1;3;1;1;1;2;1;2;3;1;1;0;0;1;0;1;1;1;10;2
5056780812;5;5;3;4;4;4;4;4;4;3;3;4;4;3;3;4;4;1;0;1;1;3;1;1;0;0;1;0;4;3;2;3;4;2;4;4;4;3;2;3;3;3;3;3;1;2;3;1;0;1;0;1;0;1;1;1;1;2
5056541603;3;4;5;4;4;3;4;5;4;4;4;4;4;4;4;4;3;1;1;1;1;1;0;1;0;0;0;0;1;4;4;4;3;3;4;4;3;3;4;4;4;3;4;4;1;4;4;1;0;0;0;1;0;1;1;1;5;1
5056521922;3;3;1;3;2;2;2;3;2;3;2;3;2;2;2;3;2;1;1;0;1;3;0;1;0;0;0;0;1;2;2;3;3;2;2;3;3;1;2;3;2;2;2;2;1;1;2;1;1;0;0;1;0;1;2;2;5;2
5055012372;1;4;4;3;4;5;2;2;4;4;3;4;3;3;2;2;3;1;1;1;0;4;1;0;0;0;0;0;5;4;4;4;3;3;3;3;4;4;4;3;3;4;3;2;3;3;3;1;0;0;0;1;0;1;1;1;4;2
5053406669;4;4;4;2;4;3;2;1;3;3;4;4;4;4;3;3;3;1;0;1;1;4;1;0;0;0;0;0;3;3;4;2;3;3;4;4;4;3;2;3;3;4;2;3;4;4;4;1;1;1;1;1;0;1;2;1;2;3
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
