TIME;PASSENGERS;INFORMATION;SAFETY;STATION;TRIP_TRANSPORT;CHARACTERISTICS;GENDER;DRIVING_LIC;PRIVATE_CAR_USE;TWOWH_USE;BIKE_USE;NONE_ABOVE;AGE;EDUCATION_LVL;JOB;PPL_IN_HOUSE;FAMILY_INCOME
4;,79;3,4;4,33;3,12;2,91;1,27;2;1;1;1;1;0;1;2;1;3;1
2;,93;2,6;3,67;2,65;3,36;1,36;2;0;0;0;1;0;2;2;2;4;2
1,67;,93;2,6;3,33;3,12;2,91;1,27;1;1;0;0;1;0;2;2;2;4;1
2,33;,64;2,2;3,67;2,82;2,45;1;2;0;0;0;0;1;1;1;1;4;1
2,33;,71;2,2;3;2,24;2,18;,9;2;0;0;0;1; ;1;1;1;1;2
2,33;,71;2,2;3,33;3,06;2,73;1,64;2;0;0;0;0;1;1;2;6;4;2
2,67;,86;2,2;3;2,47;2,27;,73;2;0;0;0;1;0;1;1;1;1;1
2,67;,57;1,6;2,67;2,47;1,82;1,5;2;0;0;1;1; ;2;2;2;3;2
3,33;,57;2,6;2,67;2,65;2,18;,82;2;0;0;0;1;0;1;1;1;2;1
2,33;,79;2;2,67;2,47;2,55;1,1;2;0;0;0;1; ;1;1;1;3;2
2;,5;1,8;2,33;2,12;2,55;1,82;1;1;1;0;1;0;2;2;6;5;1
4;1,07;1,6;3;2,82;2,64;,82;2;0;0;0;0;1;1;2;1;1;1
2;,57;2,6;2;3;2,45;1,1;2;0;0;0;1; ;1;1;1;4;1
2;,79;1;1,33;2;2,45;1,4;1;1;1;0;1; ;1;2;1;4;2
1;,5;1,4;1,33;2,18;2,09;1,1;1;1;0;1;1; ;2;2;1;1;1
4;,79;3,6;4;3,59;2,45;,9;1;0;0;0;0; ;1;2;1;1;3
3;,86;3,2;3,33;2,65;3,09;,9;2;0;0;0;1; ;1;2;1;1;1
2,67;,93;2,4;2,67;2,29;3,09;1,6;2;1;1;0;1; ;2;2;2;2;3
2,67;,5;2,2;3;2,94;2,09;1,18;2;1;0;1;1;0;2;2;2;1;1
2;,62;2,2;3;3;1,82;,82;1;1;0;0;0;0;1;1;1;1;3
2,33;,71;2,2;2,67;2,65;2;,7;2;0;0;0;0; ;1;1;1;1;1
